Zeitstempel,Welche der folgenden Entwicklungsumgebungen hast du im letzten Jahr benutzt?,Welche der folgenden Entwicklungsumgebungen hast du am Anfang deines Studiums (1./2. Semester) genutzt?,Welche IDE nutzt du am meisten?,Welche IDE findest du am besten?,Warum findest du diese IDE am besten?,Welchen konsolenbasierten Editor nutzt du am meisten?,Welchen konsolenbasierten Editor findest du am besten?,Warum findest du diesen Editor am besten?,Welchen Editor mit GUI nutzt du am meisten?,Welchen Editor mit GUI findest du am besten?,Warum findest du diesen Editor mit GUI am besten?,Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [IntelliJ],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Eclipse],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Xcode],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Vim],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Atom],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Microsoft Visual Studio],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Netbeans],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [PyCharm],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Code::Blocks],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Sublime],Wie bewertest du deine Erfahrung mit diesen Entwicklungsumgebungen? [Gedit],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [IntelliJ],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Eclipse],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Xcode],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Vim],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Atom],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Microsoft Visual Studio],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Netbeans],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [PyCharm],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Code::Blocks],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Sublime],Welche Entwicklungsumgebungen nutzt du für diese Sprachen? [Gedit],"Was sind Features, die dir in einer Entwicklungsumgebung am wichtigsten sind?"
01.06.2019 08:17:20,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Nano,Keinen,,Visual Studio Code,Visual Studio Code,,Sehr gut,Gut,Nicht einschätzbar,Mittelmäßig,Gut,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Java/Kotlin,,,,,,,,,,,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
01.06.2019 08:17:33,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,"Großer Funktionsumfang, relativ modernes Layout",Nano,Nano,Einfach zu bedienen,Visual Studio Code,Visual Studio Code,"Leichtgewichtig, extrem konfigurierbar, Unterstützung für praktisch jede Sprache",Sehr gut,Mittelmäßig,Nicht einschätzbar,Schlecht,Mittelmäßig,Gut,Schlecht,Sehr gut,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Java/Kotlin,,,,,C#,,,,,,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 08:17:48,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,,Nano,Keinen,,Keinen,Keinen,,Sehr gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,,,,,,,,,,,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting"
01.06.2019 08:26:21,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Netbeans,Netbeans,,Emacs,Keinen,,Notepad++,Notepad++,,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,Java/Kotlin,,,,,"C/C++, Java/Kotlin",,,,,"Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 08:29:26,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,einfache remote code execution auf servern und gute Integration/Darstellung von matplotlib-grafiken,Nano,Nano,,Notepad++,Notepad++,,Sehr gut,Gut,,,,Sehr gut,Mittelmäßig,Sehr gut,,,Mittelmäßig,"Java/Kotlin, Python",,,,,C/C++,,,,,Bash/Konsolen-Scripts,"Codevervollständigung, Codegenerierung, Debugger"
01.06.2019 08:32:32,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Eclipse,Eclipse,"War mein erster, ich hab keinen Vergleich, bin aber zufrieden - ich kann es v.a. sehr gut erweitern und individualisieren",Keinen,Keinen,-,Notepad++,Notepad++,"Auch hier, nicht viel Ausprobiert. Nutze ich eh eher selten",Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,"Java/Kotlin, JavaScript",,,,,,,,,,"Codevervollständigung, Syntax-Highlighting"
01.06.2019 08:32:36,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,Great short cuts,Keinen,Keinen,,Keinen,Keinen,,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,,,,,,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
01.06.2019 08:42:57,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Viele Features, sehr gut für Java als auch Webentwicklung","Unfreiwillig, aber z.b. beim mergen via git in der Kommandozeile",Keinen,,Visual Studio Code,Visual Studio Code,,Sehr gut,Mittelmäßig,Nicht einschätzbar,Mittelmäßig,Gut,Gut,Mittelmäßig,Sehr gut,Gut,Gut,Mittelmäßig,"C/C++, Java/Kotlin, JavaScript, Python",,,,JavaScript,JavaScript,,,,"JavaScript, Python, Bash/Konsolen-Scripts",,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
01.06.2019 08:51:25,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Keinen,Keinen,,Notepad++,Visual Studio Code,,Sehr gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,Java/Kotlin,,,,"C/C++, C#",,,,,,"Codegenerierung, Debugger, Syntax-Highlighting"
01.06.2019 08:53:08,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Eclipse,IntelliJ,"Dark Theme, Übersichtlichkeit, Verbreitet, Gutes Debugging uns Versionskontrolle",Keinen,Emacs,,Visual Studio Code,Visual Studio Code,,Sehr gut,Sehr gut,Mittelmäßig,Mittelmäßig,Gut,Gut,Gut,Schlecht,Mittelmäßig,Mittelmäßig,Schlecht,"C/C++, Java/Kotlin, C#","C/C++, Java/Kotlin, JavaScript, PHP, C#, Python",,,,"C/C++, C#",,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
01.06.2019 08:53:44,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",emacs,Keine,,Emacs,Emacs,vim on steroids,Gedit,Visual Studio Code,,Mittelmäßig,Gut,Nicht einschätzbar,Sehr gut,Mittelmäßig,Gut,Schlecht,Nicht einschätzbar,Schlecht,Nicht einschätzbar,Mittelmäßig,,"C/C++, Java/Kotlin, PHP, Python",,Bash/Konsolen-Scripts,PHP,"C/C++, C#",,,,,"C/C++, JavaScript, PHP, Python, Bash/Konsolen-Scripts","Codevervollständigung, Codegenerierung, Geringer Verbrauch (Speicher, Leistung, etc.), Geschwindigkeit, Responsiveness, Tool Support, aufgeräumte Oberfläche"
01.06.2019 08:53:58,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,"Performance, Design, Features",Vim,Vim,,Notepad++,Notepad++,,Sehr gut,Mittelmäßig,Nicht einschätzbar,Gut,Gut,Sehr gut,Gut,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Java/Kotlin,Java/Kotlin,,C/C++,Java/Kotlin,Python,Java/Kotlin,,,,"Java/Kotlin, Python","Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting"
01.06.2019 08:58:45,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",QTCreator,QTCreator,"Gute CMake-Integration, schnelle Oberfläche",Vim,Vim,"Gutes Syntax-Highlighting, Erweiterbarkeit, Gewohnheit",Kate,Kate,"Gutes Syntax-Highlighting, Konsolen-Integration, Erweiterbarkeit, schnell",Nicht einschätzbar,Gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,C/C++,,"C/C++, Python, Bash/Konsolen-Scripts",,C/C++,,,,,"C/C++, Python, Bash/Konsolen-Scripts","Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 09:08:49,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Das Interface und die Shortcuts gefallen mir am besten, ausserdem entsprechen viele Voreinstellungen bereits meinen Präferenzen.",Nano,Nano,Find die anderen zu schwer/kompliziert :'),Kate,Atom,"Ist Open Source und kostenlos, sieht super aus, hat viele Plugins (benutzt allerdings auch Electron und is langsam)",Sehr gut,Schlecht,Nicht einschätzbar,Sehr schlecht,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,,,,"C/C++, Bash/Konsolen-Scripts",,,,,,,"Codevervollständigung, Codegenerierung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 09:20:55,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Keinen,Keinen,,Notepad++,Notepad++,,Gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr schlecht,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,Java/Kotlin,Java/Kotlin,Java/Kotlin,Java/Kotlin,Java/Kotlin,Java/Kotlin,,Java/Kotlin,Java/Kotlin,Java/Kotlin,"Codevervollständigung, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 09:32:53,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)",Eclipse,Eclipse,,Emacs,Emacs,,Keinen,Keinen,,Sehr gut,Sehr gut,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,Java/Kotlin,,,,,Java/Kotlin,,,,,"Codevervollständigung, Syntax-Highlighting"
01.06.2019 09:39:34,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Eclipse,Eclipse,,Nano,Nano,,Notepad++,Notepad++,,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,Java/Kotlin,,,,C/C++,,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger"
01.06.2019 10:00:51,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Vim,Vim,,Keinen,Keinen,,Gut,Schlecht,Mittelmäßig,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Java/Kotlin,,,"C/C++, JavaScript, PHP, Python, Bash/Konsolen-Scripts",,,,,,,,"Codevervollständigung, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 10:07:24,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,"Sehr viele praktische Features.
Die Fehlerkorrektur ist sehr gut und gibt auch nicht nur Syntax Fehler, sondern auch Code Stellen, die semantisch verbessert werden können an. 
",Keinen,Keinen,,Visual Studio Code,Visual Studio Code,"Übernimmt schon viele IDE Features, startet aber deutlich schneller und ist generell etwas simpler aufgebaut.",Gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,"Java/Kotlin, JavaScript",,,,,"C/C++, Java/Kotlin, JavaScript",,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
01.06.2019 10:13:36,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Atom mit IDE-Plugins,Atom mit IDE-Plugins,"Einfach, ich brauche nicht viel, github",Nano,Nano,,Atom,Atom,weil ichs kann,Mittelmäßig,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Gut,Java/Kotlin,Java/Kotlin,,,"C/C++, Java/Kotlin, JavaScript, Python",,,,,,Python,"VCS-Tools (beispielsweise für Git), Syntax-Highlighting"
01.06.2019 10:38:10,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",IntelliJ,IntelliJ,,Nano,Nano,,Notepad++,Notepad++,,Sehr gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Sehr schlecht,Mittelmäßig,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,"Java/Kotlin, JavaScript, PHP, Python","C/C++, Java/Kotlin, PHP",,Bash/Konsolen-Scripts,,,,,,,Bash/Konsolen-Scripts,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger"
01.06.2019 10:45:17,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,Keine,"Nicht notwendig, IDE zu benutzen",Neovim,Neovim,Vim in noch geiler,Atom,Atom,Atom lässt sich mMn am Besten personalisieren und dran rumhacken,Schlecht,Schlecht,Nicht einschätzbar,Sehr gut,Gut,Gut,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Schlecht,,,,"C/C++, Java/Kotlin, JavaScript, PHP, Python, Bash/Konsolen-Scripts","C/C++, Python, Bash/Konsolen-Scripts","C/C++, JavaScript, PHP, C#",,,,,,"Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 10:45:46,"Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Keine,Keine,,Nano,Nano,"Wenn ich einen konsolenbasierten Editor brauche, dann hab ich keine Lust auf nervige Keybinds und Insert Mode und Ähnliches.",Visual Studio Code,Visual Studio Code,"Auf das wesentliche reduziert, modular (alles was man braucht als Extension), , alle Plattformen (Mac, Unix, Windows), große Community, genialer IntelliSense, konfigurier- und hackbar (wenn man will), gute Default-Einstellungen, tolle Themes. VS Code war mal Web-fokussiert, ist jetzt aber general purpose. Java und C sind zum Beispiel unterstützt (inkl. Debugging). Viel leichter zu lernen als ein IDE, verzichtet auf Krimskrams und wenn man was braucht installiert man eine Extension.",Nicht einschätzbar,Schlecht,Schlecht,Sehr schlecht,Mittelmäßig,Schlecht,Nicht einschätzbar,Schlecht,Nicht einschätzbar,Gut,Nicht einschätzbar,,,,,,,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting"
01.06.2019 11:02:05,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Vim,Vim,,Notepad++,Notepad++,,Sehr gut,Gut,Nicht einschätzbar,Sehr gut,Gut,Sehr gut,Nicht einschätzbar,Sehr gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,"Java/Kotlin, Python",,,"C/C++, Bash/Konsolen-Scripts",,C#,,,,,,"Codevervollständigung, Codegenerierung, Syntax-Highlighting"
01.06.2019 11:24:30,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,"Erweiterbarkeit, Aussehen",Nano,Vim,Große Anzahl an Bedienungsmöglichkeiten,Visual Studio Code,Visual Studio Code,,Gut,Nicht einschätzbar,Nicht einschätzbar,Gut,Gut,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Schlecht,Nicht einschätzbar,Java/Kotlin,,,"C/C++, Python, Bash/Konsolen-Scripts",,"Java/Kotlin, Python",,,,,,"Codegenerierung, Syntax-Highlighting"
01.06.2019 11:36:19,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Keine,,Keinen,Keinen,,Notepad++,Keinen,,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,Java/Kotlin,,,,"C/C++, C#",Java/Kotlin,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.), Stabilität (Bugs, etc), Anpassbarkeit, Klassen- & Methodenhierarchien, Verstecken von temporär unnötigen Elementen"
01.06.2019 11:36:26,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",Eclipse,Keine,,Keinen,Keinen,,Notepad++,Keinen,,Nicht einschätzbar,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,,Java/Kotlin,,,,"C/C++, C#",Java/Kotlin,,,,,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.), Stabilität (Bugs, etc), Anpassbarkeit, Klassen- & Methodenhierarchien, Verstecken von temporär unnötigen Elementen"
01.06.2019 11:39:50,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Nano,Nano,,Notepad++,Visual Studio Code,,Sehr gut,Sehr schlecht,Nicht einschätzbar,Mittelmäßig,Gut,Schlecht,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Mittelmäßig,"C/C++, Java/Kotlin",,,,,C/C++,Java/Kotlin,,,,Bash/Konsolen-Scripts,"Codevervollständigung, Debugger, Syntax-Highlighting"
01.06.2019 11:48:22,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)",IntelliJ,IntelliJ,,Keinen,Keinen,,Sublime,Sublime,,Sehr gut,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Gut,Sehr gut,Mittelmäßig,Sehr gut,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,"Java/Kotlin, JavaScript, Python",Java/Kotlin,,,,,,,,"JavaScript, Python",,"Codevervollständigung, Codegenerierung, VCS-Tools (beispielsweise für Git), Syntax-Highlighting"
01.06.2019 12:09:44,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Keine,Keine,,Emacs,Emacs,"Stark erweiterbar, viele Plugins, sehr ergonomische Bedienung.",Kate,Kate,"Gutes Syntaxhighlighting, integrierte Konsole.",Mittelmäßig,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Schlecht,Nicht einschätzbar,Schlecht,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Schlecht,,,,,,,,,,,,"Codevervollständigung, Syntax-Highlighting"
01.06.2019 12:44:29,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Eclipse,Keine,,Keinen,Keinen,,Notepad++,Keinen,,Nicht einschätzbar,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,Java/Kotlin,,,,,,,,,,"Codevervollständigung, Codegenerierung, Syntax-Highlighting"
01.06.2019 13:02:23,"IDEs (IntelliJ, Eclipse, Xcode, etc.), Konsolenbasierte Editoren (Vim,  Nano, ed, etc.), Editoren mit GUI (Sublime, Atom, Gedit, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Keine,Keine,"Großer Overhead, nicht kompatibel mit anderen IDEs.",Keinen,Keinen,"Keine Erfahrung mit konsolebasierten Editoren, steile Lernkurve",Visual Studio Code,Visual Studio Code,"Community driven, geeignet für meine Arbeit.",Nicht einschätzbar,Schlecht,Nicht einschätzbar,Nicht einschätzbar,Gut,Schlecht,Sehr schlecht,Sehr schlecht,Mittelmäßig,Gut,Mittelmäßig,,Java/Kotlin,,Bash/Konsolen-Scripts,,,,,,,,"Codevervollständigung, Debugger, Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 13:17:24,"Konsolenbasierte Editoren (Vim,  Nano, ed, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Keine,Keine,,Vim,Vim,"klare paradigmen. tut, was er soll: text editieren.
blöcke auswählen, macros, alles sehr intuitiv.",Notepad++,Keinen,,Mittelmäßig,Mittelmäßig,Schlecht,Sehr gut,Schlecht,Mittelmäßig,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Schlecht,Nicht einschätzbar,,,,"C/C++, PHP, Python, Bash/Konsolen-Scripts",,,,,,,,"Syntax-Highlighting, Geringer Verbrauch (Speicher, Leistung, etc.)"
01.06.2019 13:31:54,"IDEs (IntelliJ, Eclipse, Xcode, etc.)","IDEs (IntelliJ, Eclipse, Xcode, etc.)",Microsoft Visual Studio,Microsoft Visual Studio,"Übersichtlich, schnell und problemlos erweiterbar",Keinen,Keinen,,Notepad++,Notepad++,,Gut,Gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Sehr gut,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,Nicht einschätzbar,,,,,,"Java/Kotlin, Python",,,,,,"Codevervollständigung, VCS-Tools (beispielsweise für Git), Debugger, Syntax-Highlighting"
